-armig;-karú
-prozentig;-százalékos
-tägig;-napos˙
(in ; im);-ban, -ben
... von mir;tőlem való ...
... von mir;az én ...-m
2 bis 3 Kilometer;2-3 km
3 geht in 9 ohne Rest auf;9 3-mal maradék nélkül osztható
4 bis 5 Kilometer;4-5 km
a.d. (an der);mellett
a.G. (als Gast);m.v. (mint vendég)
Aal (r);angolna
Aar (r);sas
Aas (s);döghús
ab-;le-
ab und zu;hébehóba
abarbeiten;ledolgoz
abarbeiten s.;agyondolgozza magát
abändern;módosít
abändern;megváltoztat
Abb. (Abbildung);á. (ábra)
Abbau (r);leépítés
abbauen;leépít
abbauen;lebont
abbeißen;leharap
abbekommen;kap
abberufen;visszahív
abbezahlen;törleszt
abbiegen;elkanyarodik
abbiegen;elhajlít
Abbild (s);képmás
Abbild,-er;képmás
abbilden;másol
abbilden;ábrázol
Abbildung (e);kép
Abbildung (e);ábra
abbinden;elold
abbitten;bocsánatot kér
abblasen;elfúj
abblenden;tompít
Abblendlicht (s);tompított fény
Abblendlicht,-er;tompított fény
abblühen;elvirágzik
abbrauchen;elhasznál
abbrechen;lebont
abbrechen;félbeszakít
abbrechen;eltörik
abbrechen;eltör
abbremsen;lefékez
abbrennen;leéget
abbrennen;leég
abbringen;eltávolít
abbröckeln;lemorzsolódik
Abbruch (r);lebontás
abbürsten;kikefél
abbüßen;meglakol
abbüßen;megbűnhődik
abbüßen;megbünhődik
abdanken;lemond
abdanken;leköszön
abdämpfen;elpárologtat
abdecken;leszedi az asztalt
abdecken;kitakar
Abdecker (r);sintér
abdichten;elszigetel
abdrärigen;kiszorít
abdrehen;elzár
abdrehen;elcsavar
abdrehen s.;elfordul
Abdruck (r);lenyomat
abdrucken;kinyomtat
abdrücken;megnyom
abdrücken;elsüt
abds. (abends);este
Abend (r);este
Abendblatt (s);esti lap
Abendbrot (s);vacsora
Abendbrot,-e;vacsora (kenyér)
Abendessen (s);vacsora
Abendessen,-;vacsora (étkezés)
Abendkurs (r);esti tanfolyam
Abendmahl (s);vacsora
Abendmärchen (s);esti mese
Abendmärchen,-;esti mese
abends;esténként
abends;este
Abenteuer (s);kaland
Abenteuer,-;kaland
abenteuerlich;kalandos
Abenteurer (r);kalandor
aber;pedig
aber;hanem
aber;de
aber;azonban
aber nein !;dehogy !
aber und abermal;újra meg újra
Aberglaube (r);babona
abergläubisch;babonás
aberkennen;megtagad
abermalig;ismételt
abermals;újra
abermals;ismét
abfahren;elvisz
abfahren;elindul
Abfahrt (e);indulás
Abfall (r);hulladék
Abfall (r);esés
abfallen;lejt
abfallen;leesik
abfallen;elpártol
abfangen;elkap
abfassen;rajtakap
abfassen;megfogalmaz
abfällig;lejtős
abfällig;elítélő
abfärben;megfakul
abfärben;befog (szín)
abfärben;befog
abfegen;lesöpör
abfertigen;továbbít
abfertigen;elintéz
abfeuern;elsüt
abfinden;kielégít
abfinden;kártalanít
abfinden s.;beletörődik
abfinden s.;belenyugszik
abfliegen;elszáll
abfliegen;elrepül
abfließen;elmúlik
abfließen;elfolyik
Abflug (r);felszállás
Abflug (r);elrepülés
Abfluß (r);lefolyó
Abfolge (e);sorrend
abfondern;követel
abfordern;követel
abformen;mintáz
abformen;formáz
abfragen;kikérdez
Abfuhr (e);visszautasítás
Abfuhr (e);elszállítás
abführen;elvezet
abführen;elszállít
Abführmittel (s);hashajtó
Abführmittel,-;hashajtó
Abgabe (e);szolgáltatás
Abgabe (e);kézbesítés
Abgabe (e);adó
Abgang (r);veszteség
Abgang (r);indulás
Abgangszeit (e);indulási idő
Abgas (s);égéstermék
Abgas,-e;égéstermék
abgängig;hiányzó
abgeben;lead
abgeben;jövedelmez
abgeben;hiányzik
abgeben;elmegy
abgeben s. + mit;valamivel foglalkozik
abgebraucht;elhasznált
abgehen;hiányzik
abgehen;elmegy
abgelegen;távoli
abgemachen abgemacht !;rendben van!
abgemachen abgemacht!;rendben van!
abgemacht!;rendben van!
Abgeordnetenhaus,:er;képviselőház
abgeschmackt;ízléstelen
abgeschmackt;ízetlen
abgesehen davon, dass...;nem tekintve azt
abgesehen davon, daß...;nem tekintve azt, hogy...
abgespannt;kimerült
abgespannt;elcsigázott
abgestanden;poshadt
abgestanden;ócska
abgewinnen;elnyer
abgewöhnen;leszoktat
abgewöhnen s.;leszokik
abgleiten;lesiklik
abgleiten;lecsúszik
Abgott (r);bálvány
abgrasen;lelegel
abgrasen;lekaszál
abgrassen;lelegel
abgrassen;lekaszál
abgrenzen;elhatárol
Abgrund (r);szakadék
abhalten;visszatart
abhalten;megtart
abhandeln;megtárgyal
abhanden kommen;elkallódik
Abhang (r);lejtő
abhauen;meglóg
abhauen;levág
abhängen;lelóg
abhängen;leakaszt
abhängig;függő
abhärten;edz
abheben;leemel
abheben;felvesz (pénzt)
abhelfen;orvosol
abhelfen;lesegít
abhetzen;agyonhajszol
Abhilfe (e);segítség
Abhilfe (e);orvoslás
abholen;érte megy
abholen;érte jön
abholen;elvisz
abhören;kikérdez
abhören;kihallgat
Abirrung (e);eltévedés
Abitur (s);érettségi
Abitur,-e;érettségi
Abiturient (r);érettségiző
abjagen;kimerít
abjagen;agyonhajszol
abjangen;kimerít
abjangen;agyonhajszol
Abk. (Abkürzung);röv. (rövidítés)
abkaufen;megvesz
abkehren;lesöpör
abkehren s.;elfordul
abklopfen;lekopog
abknöpfen;legombol
abkochen;leforráz
abkochen;felforral
abkommen;eltávolodik
Abkommen (s);egyezmény
Abkommen,-;egyezmény
abkömmlich;nélkülözhető
Abkömmling (r);ivadék
abkratzen;lekapar
abkriegen;kap
Abkunft (e);eredet
abkühlen;lehűt
abkühlen;lehüt
abkühlen;lehülik
abkühlen;lehűl
Abkürzung (e);megrövidítés
abladen;lerakódik
abladen;lerak
ablagern;elraktároz
ablassen;leereszt
ablassen;abbahagy
Ablaß (r);engedmény
Ablauf (r);lefolyás
ablaufen;leszalad
ablaufen;lejár
ablaufen;elmúlik
ablaufen;elkoptat
Ableben;halál
Ableben;elhalálozás
Ableben (s);halál
ablecken;lenyal
ablegen;letesz
ablehnen;visszutasít
ablehnen;visszautasít
ablehnen;elutasít
ableiten;levezet
ableiten;eltérít
ableiten;elterel
ableiten;elhárít
ablesen;leolvas
ableugnen;letagad
ablocken;kicsal
ablocken;elcsalogat
ablösen;felvált
abmachen;eltávolít
abmagern;lefogy
abmalen;lefest
abmelden;visszavon
abmelden;lemond
abmelden s.;kijelentkezik
abmessen;mérlegel
abmessen;megmér
Abmessung (e);méret
abmühen;fáradozik
Abnahme (e);fogyás
abnehmen;levesz
abnehmen;fogy
Abnehmer (r);vásárló
Abneigung (e);ellenszenv
abnorm;abnormális
abnötigen;kicsikar
abnutzen;elkoptat
Abonnement (s);előfizetés
Abonnement (s);bérlet
Abonnement,-s;előfizetés
Abonnement,-s;bérlet
