der;Abend;e;;;;nomen;este;0
das;Abendessen;-;;;;nomen;vacsora;4
;abenteuerlich;;;;;adjektive;kalandos;0|6|9
das;Abitur;e;;;;nomen;érettségi;2
;abschließen;;schloss ab;h. abgeschlossen;schließe ab|schließt ab|schließt ab|schließen ab|schließt ab|schließen ab;verben;"lezár; befejez";0|2
;absolvieren;;absolvierte;h. absolviert;absolviere|absolvierst|absolviert|absolvieren|absolviert|absolvieren;verben;"elvégez; befejez";2
;abstehend;;;;;adjektive;"távolálló; elálló";0
die;Adresse;n;;;;nomen;lakcím;1|5|7
der;Advent;e;;;;nomen;advent;9
der;Adventskranz;Adventkränze;;;;nomen;adventi koszorú;9
der;Adventsonntag;e;;;;nomen;advent vasárnapja;9|10
die;Adventszeit;;;;;nomen;advent ideje;9|10
;aggressiv;;;;;adjektive;"agresszív; erőszakos";1
;aktiv;;;;;adjektive;"aktív; tevékeny";1|2|8
;alle;;;;;adjektive;minden;0
;alleinstechend;;;;;adjektive;egyedülálló;1
;allgemein;;;;;adjektive;"általános; általában";0
das;Alter;;;;;nomen;életkor;1
;angeberisch;;;;;adjektive;"hencegő; felvágós";1
der;Angehörige;n;;;;nomen;hozzátartozó;1
;angenehm;;;;;adjektive;kellemes;0|6
;angeschwollen;;;;;adjektive;"megdagadt; duzzadt";0|8
die;Anschrift;en;;;;nomen;"lakcím; címzés";1|5|7
;anständig;;;;;adjektive;"tisztességes; illedelmes; rendes";1|2
;anziehen;;zog an;h. angezogen;ziehe an|ziehst an|zieht an|ziehen an|zieht an|ziehen an;verben;"felöltözik; felvesz";10
der;Apfel;Äpfel;;;;nomen;alma;4|10
der;Appetit;e;;;;nomen;étvágy;4
;appetitlich;;;;;adjektive;étvágygerjesztő;4
die;Aprikose;n;;;;nomen;"sárgabarack; kajszibarack";4|10
die;Arbeit;en;;;;nomen;"állás; feladat; munka";2|3
;arbeiten;;arbeitete;h. gearbeitet;arbeite|arbeitest|arbeitet|arbeiten|arbeitet|arbeiten;verben;dolgozni;3
die;Arbeitsgemeinschaft;en;;;;nomen;"szakkör; munkacsoport";2|3
der;Arbeitslose;n;;;;nomen;munkanélküli;1|3
der;Arbeitsplatz;Arbeitsplätze;;;;nomen;munkahely;3
die;Arbeitsstelle;n;;;;nomen;munkahely;3
;arrogant;;;;;adjektive;arrogáns;1
der;Arzt;Ärzte;;;;nomen;orvos;3|8
die;Ärztin;nen;;;;nomen;orvosnő;3|8
;athletisch;;;;;adjektive;atlétikus;1|8
;attraktiv;;;;;adjektive;"csinos; bájos; vonzó";1|10
;aufbauen;;baute auf;h. aufgebaut; baue auf|baust auf|baut auf|bauen auf|baut auf|bauen auf;verben;felépít;0|3|5
;aufdringlich;;;;;adjektive;"erőszakos; sűrgető; tolakodó";1
